,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
64,1959,571,28.5,4.38,38.27019386106623,94757,84294,0.11453507392593687,0.22833141614867503,0.16164504996992307,0.036704412338930105,0.006237006237006237,0.023744947602815623,0.1073799297149551,0.009001973468978545,0.08636828941397469,0.13301391981595026,0.257,0.324,0.392,0.716,0.34874468377006446,0.005234441782665133,0.011893580421499203,0.7393226885612673
65,1958,580,28.4,4.28,38.125506072874494,94170,83827,0.11232876712328767,0.22959541255176807,0.1628331740469364,0.03601996389508336,0.006955505999787618,0.02378676860996071,0.10571307210364235,0.007868748008920038,0.0863013698630137,0.12981841350748646,0.258,0.325,0.394,0.719,0.3508866942763088,0.0052989274715939255,0.011107571413401296,0.7434002336200488
66,1957,563,28.5,4.31,38.63238866396761,95422,84906,0.11146276540001257,0.22914003060090965,0.16343191297604326,0.03558927710590849,0.007042401123430656,0.023076439395527237,0.10503867032759741,0.008037978663201358,0.08558822912955084,0.12522269497600133,0.258,0.324,0.391,0.715,0.3480434281402612,0.005355159187608727,0.01168493638783509,0.7486952694347215
67,1956,552,28.3,4.45,38.445520581113804,95268,83856,0.11578914220934626,0.22728513246840493,0.16054708821430072,0.03504849477264139,0.0076101104253264475,0.024079439056136374,0.10843095268085821,0.00754713020111685,0.09443884620229248,0.12076457992190452,0.258,0.331,0.397,0.729,0.3497921652601083,0.005048914640802788,0.013152370155771087,0.7421274719738002
68,1955,599,28.3,4.48,38.51418152350081,95053,83590,0.11644030172640527,0.2273468486002546,0.16238309153840488,0.0342019715316718,0.007364312541424258,0.023397472988753644,0.10921275498932174,0.007301189862497765,0.09514691803520141,0.11366290385363954,0.259,0.332,0.394,0.726,0.34646986418103587,0.005323345922800963,0.012487769980957991,0.7496870167169895
69,1954,536,28.2,4.38,38.667071197411005,95585,83936,0.11327091070774703,0.22919914212481038,0.1645341842339279,0.036145838782235706,0.008254433226970758,0.020264685881675994,0.10637652351310352,0.007271015326672595,0.09449181356907464,0.1068682324632526,0.261,0.333,0.39,0.723,0.3426479050060156,0.00461369461735628,0.01393524088507611,0.7593136998483025
70,1953,534,28.4,4.61,38.48951612903226,95454,84997,0.11970163639030318,0.23528610639679845,0.1680914367129717,0.03764116747333794,0.007804806503656211,0.02174869570683261,0.11223206989754227,0.0069981352274393945,0.09095480545603117,0.1069939447273032,0.264,0.336,0.397,0.733,0.35378297399794667,0.005101933915812852,0.013042931673895279,0.7617072097554843
71,1952,556,28.6,4.18,38.276029055690074,94848,84195,0.10911142037786775,0.22427462887989202,0.16348262483130904,0.035720310391363023,0.00713773616734143,0.01793395748987854,0.10196314102564102,0.008128795546558704,0.09253753373819164,0.10943825910931174,0.253,0.327,0.37,0.696,0.32807228407557354,0.005081815114709852,0.01427547233468286,0.7603112348178138
72,1951,543,28.7,4.55,38.75746569814366,96041,85065,0.11732489249383075,0.23105756916316988,0.1669078830915963,0.03729657125602607,0.007455149363292761,0.019397965452254765,0.10957820097666622,0.009016982330463032,0.09625055965681324,0.09719807165689653,0.261,0.336,0.386,0.722,0.3414583355025458,0.004675086681729678,0.012911152528607573,0.7691194385731094
73,1950,530,28.3,4.85,38.97334410339257,96498,84823,0.12448962672801508,0.2337768658417791,0.16558892412277976,0.03848784430765404,0.008217786897137765,0.02148231051420755,0.11677962237559328,0.00673589089929325,0.10316275984994508,0.09900723331053493,0.266,0.346,0.402,0.748,0.3531472154863313,0.004518228357064395,0.012943273435718876,0.758523492714875
74,1949,532,28.5,4.61,38.80483870967742,96236,84380,0.11872895797830334,0.2303503886279563,0.16730745251257326,0.03742882081549524,0.007907643709214847,0.01770647159067293,0.1105823184671017,0.007585518932623966,0.10419177854441165,0.09301093146016044,0.263,0.344,0.384,0.728,0.3367139116339,0.0038966706845671058,0.014630699530321294,0.766085456585893
75,1948,835,28.4,4.63,38.574827586206894,111867,98670,0.1200979734863722,0.23250824639974255,0.16985348672977732,0.03834017181116862,0.009260997434453414,0.015053590424343193,0.11040789508970474,0.00984204457078495,0.09820590522674247,0.08059570740254052,0.264,0.34,0.379,0.719,0.33453118435284757,0.004067329954320756,0.015053590424343193,0.7863802551243888
76,1947,850,28.9,4.51,38.32046979865772,114195,101072,0.11764087744647314,0.23228687770918166,0.1708568676386882,0.03731336748544157,0.008932089846315513,0.015184552738736371,0.10800823153377993,0.009895354437584833,0.09507421515828189,0.08018739874775603,0.262,0.337,0.376,0.713,0.33301808310346337,0.004001926529182538,0.015464775165287447,0.7897105827750777
77,1946,953,29.2,4.17,38.203315290933695,112929,100155,0.10906852978420069,0.2278511276997051,0.17043452080510763,0.036704478034871466,0.00866030868953059,0.012051820170195432,0.09974408699271224,0.010333926626464415,0.09161508558474794,0.08587696694383197,0.257,0.329,0.359,0.688,0.31803168362422407,0.003710295849604619,0.017258631529545113,0.7889558926405087
78,1945,869,29.7,4.29,38.43511450381679,110770,98794,0.11171797418073486,0.23278866118985284,0.1777737654599621,0.03630044235803918,0.00861244019138756,0.010102013180464024,0.10184165387740363,0.010607565225241491,0.08622370677981403,0.0726279678613343,0.261,0.329,0.355,0.684,0.3166200234720592,0.003909000631940056,0.01755890584093166,0.8091541030965063
79,1944,849,29.4,4.27,38.39125946317963,111565,99933,0.11116389548693587,0.23435665307220005,0.17745708779635191,0.0378075561331959,0.008873750728274997,0.01021825841437727,0.10178819522251602,0.010092771030341056,0.08179984762246224,0.073374266122888,0.262,0.326,0.358,0.684,0.32056648590507775,0.00395285259714068,0.018061219916640524,0.8121453860977905
80,1943,829,28.8,4.13,38.24598930481283,114432,102078,0.10792435682326622,0.2282053970917226,0.17439177852348994,0.03598643736017897,0.008922329418344518,0.008904851789709171,0.09747273489932885,0.011675055928411632,0.08695994127516779,0.07466442953020135,0.256,0.324,0.346,0.671,0.30875104865771813,0.0036178691275167785,0.016699874161073824,0.8084714065995525
81,1942,811,28.1,4.17,38.14221297259799,109964,98121,0.10929031319340875,0.2256647630133498,0.17058309992361137,0.036211851151285876,0.007902586300971227,0.010967225637481358,0.1003146484303954,0.010849005128951292,0.08828343821614347,0.07570659488559893,0.253,0.322,0.348,0.67,0.31058346367902223,0.003082827107053217,0.01576879706085628,0.805627296206031
82,1941,816,27.9,4.52,38.4591732148958,112570,100185,0.11764235586746025,0.23305498800746202,0.1702407390956738,0.04011726037132451,0.009522963489384383,0.013174025051079329,0.10765745758194901,0.010402416274318201,0.09021941902816026,0.07842231500399752,0.262,0.332,0.373,0.705,0.3317402505107933,0.003757661899262681,0.01567024962245714,0.798383228213556
83,1940,833,27.9,4.77,38.48379473328832,113989,101936,0.1238979199747344,0.2390844730631903,0.17204291642176,0.04158295975927502,0.010000965005395258,0.015457631876760039,0.11345831615331303,0.011246699242909403,0.08734176104711858,0.07938485292440499,0.267,0.335,0.388,0.723,0.347042258463536,0.004167068752248024,0.013878532139066051,0.7994192422075814
84,1939,814,28.1,4.86,38.64718309859155,109758,97497,0.12586781829114962,0.2434355582281018,0.17729914903697225,0.04171905464749722,0.009621166566446182,0.014796187977186173,0.11580021501849523,0.011006031451010406,0.08801180779533155,0.07745221305052935,0.274,0.342,0.393,0.734,0.3487855099400499,0.0032161664753366497,0.019980320341114088,0.7960422019351665
85,1938,830,28.2,4.96,38.65974114441417,113505,101079,0.1284084401568213,0.24304656182547024,0.17652085811197746,0.041319765649090345,0.010396017796572838,0.014809920267829612,0.11888463063301176,0.010924628870974847,0.08915906788247213,0.07343288841901238,0.273,0.342,0.393,0.734,0.3495881238711951,0.003894101581428131,0.015981674816087397,0.802281837804502
86,1937,824,28.0,5.01,38.63507588532884,114553,102383,0.12957321065358393,0.24720435082450917,0.1785461751329079,0.04308922507485618,0.011165137534590976,0.014403813082154111,0.11897549605859296,0.011680182972074063,0.08596021055755851,0.07857498275907222,0.277,0.343,0.398,0.741,0.35583529021500965,0.003701343482929299,0.016202107321501836,0.8007821706982794
87,1936,633,28.4,5.26,39.41594827586207,109734,98011,0.13336796252756666,0.253777316055188,0.18467384766799716,0.04486303242386134,0.010124482840322963,0.014115953123006543,0.12337106092915597,0.010334080594893106,0.08602620883226712,0.07504510908196184,0.284,0.35,0.404,0.754,0.36123717352871487,0.004346875170867735,0.016047897643392203,0.8040078735852152
88,1935,660,28.3,5.04,39.07773851590106,110590,99127,0.1288633692015553,0.25089971968532415,0.18196039424902793,0.044434397323446964,0.010651957681526358,0.013852970431322904,0.11916990686318836,0.010570576001446785,0.0817705036621756,0.07237544081743376,0.28,0.343,0.4,0.743,0.3581969436657926,0.004123338457365042,0.017379509901437742,0.8101184555565603
89,1934,652,28.5,4.9,38.78113619810634,106493,95631,0.12625242973716583,0.24998826213929554,0.18312940756669452,0.044059233940258985,0.00938089827500399,0.01341872235733804,0.11756641281586583,0.010056999051580855,0.08143258242325786,0.07917891316800166,0.278,0.341,0.393,0.734,0.35306545970157666,0.0035964805198463747,0.01657385931469674,0.8054050500971894
90,1933,626,28.5,4.55,38.497073884418434,105251,94761,0.11826966014574683,0.24303807089718862,0.1796182459074023,0.04142478456261698,0.010812248814738102,0.011182791612431235,0.1094526417801256,0.010080664316728582,0.07619880096151105,0.07072616887250477,0.27,0.33,0.377,0.707,0.33963572792657554,0.0040189641903639875,0.01884067609808933,0.8184245280329878
91,1932,842,27.8,4.85,38.61397179403083,117734,106174,0.1256306589430411,0.24770244789100854,0.1792260519476107,0.04472794604787062,0.011279664328061562,0.012468785567465644,0.11475019960249376,0.011806275162654797,0.07656242037134557,0.06691355088589532,0.275,0.334,0.391,0.725,0.35239607929739925,0.0037372381809842527,0.017344182649022374,0.8224302240644163
92,1931,637,28.2,4.83,38.79873039581778,103903,93513,0.12444299009653234,0.2490784674167252,0.18093799024089777,0.04616806059497801,0.011058390999297422,0.010914025581552024,0.11498224305361732,0.011789842449207433,0.08016130429342752,0.07597470717881101,0.277,0.339,0.389,0.728,0.3501053867549541,0.004205845836982571,0.015090998334985515,0.8131141545479919
93,1930,688,27.9,5.49,38.831087742359514,118163,105723,0.14142328816973165,0.2614524004976177,0.18579419953792642,0.04689285140018449,0.013650635139595305,0.015114714419911478,0.13079390333691596,0.012804346538256477,0.07882332032869849,0.06714453763022266,0.292,0.352,0.426,0.778,0.3809906654367272,0.0036559667577837395,0.022079669608930038,0.8124624459433156
94,1929,786,28.2,5.33,38.494544382188145,130535,116184,0.13849925307388822,0.2576014095836366,0.1858352166085724,0.04534416056996208,0.012326196039376413,0.014095836365725667,0.12723024476194125,0.016508982265292835,0.08425326540774505,0.05348757038342207,0.289,0.354,0.416,0.769,0.3698854713295285,0.004129160761481595,0.020814340981345998,0.8224767303788256
95,1928,783,28.0,4.84,38.34497681607419,124046,110585,0.12621124421585542,0.2504957838221305,0.1837221675829934,0.043096915660319556,0.012068103767957049,0.011608596810860487,0.11518307724553795,0.015316898569885365,0.07755187591699854,0.05722876997242958,0.281,0.342,0.395,0.738,0.35255469745094564,0.005828482982119536,0.024079776856972414,0.8226464376118536
96,1927,821,28.0,4.84,37.989583333333336,134939,120349,0.12734643060938647,0.25152846841906346,0.1866621214030043,0.04190041426125879,0.01246489154358636,0.010501041211213955,0.11607467077716598,0.01659268261955402,0.07935437493978761,0.051052697885711325,0.282,0.344,0.392,0.736,0.3498617894011368,0.004594668702154307,0.02359584701235373,0.8303233312830242
97,1926,838,28.1,4.83,38.079262942380815,130193,115265,0.1269423087262756,0.24754787123731692,0.18257510004378116,0.042367869240281734,0.012389298963845982,0.010215602989408032,0.11485256503805888,0.017842741161199143,0.0828231932592382,0.053413009916047714,0.28,0.346,0.39,0.736,0.3453411473735147,0.006551811541327107,0.024578894410605793,0.8217108446690682
98,1925,848,27.7,5.24,38.5197030268418,134896,120809,0.1359195231882339,0.257961689004863,0.18946447633732652,0.04316658759340529,0.012461451785078875,0.012869173289052308,0.12348772387617127,0.01756909026212786,0.08112916617245879,0.04940843316332582,0.288,0.35,0.407,0.757,0.364658700035583,0.0036694935357608825,0.018940517139129403,0.833293796702645
99,1924,867,27.5,4.91,38.30852305896089,131245,117531,0.12827155320202674,0.25344965522496093,0.19069678844908378,0.04088536706160235,0.01244999809516553,0.009417501619109299,0.1143053068688331,0.01790544401691493,0.07668863575755266,0.050615261533772715,0.283,0.343,0.388,0.732,0.3474875233342223,0.005783077450569545,0.020602689626271476,0.8354756371671301
100,1923,800,27.7,5.02,38.87056683843589,128234,113501,0.1291311196718499,0.25110345150272156,0.18877208852566402,0.039755447073319086,0.012001497262816414,0.010574418640922064,0.11537501754604863,0.017382285509303305,0.07735857884804342,0.05475146996896299,0.284,0.346,0.392,0.737,0.3465851490244397,0.0063711652135938985,0.02978149320772962,0.8197825849618666
101,1922,654,28.0,5.0,38.831083305893976,117930,104403,0.12887306029000253,0.25347239888069195,0.1890104299160519,0.04046468243873484,0.012982277622318324,0.011015008903586873,0.11486475027558721,0.01727295853472399,0.0757907233104384,0.058933265496480966,0.286,0.347,0.399,0.746,0.35294666327482405,0.006503858220978547,0.03133214618841686,0.8153480878487238
102,1921,668,27.8,4.89,38.70073458958799,121172,107615,0.12623378338229954,0.25383752021919254,0.1909021886244347,0.039489320965239494,0.014120423860297758,0.009325586769220613,0.11158518469613442,0.018973030072954148,0.07157594163668174,0.05743075958142145,0.286,0.344,0.394,0.737,0.3495444492126894,0.006849767272967352,0.0318472914534711,0.8213613706136731
103,1920,673,27.7,4.39,38.28336686787391,114161,101172,0.11461006823696358,0.24169374830283546,0.18576396492672628,0.03682518548365904,0.01278895594817845,0.006315641944271686,0.09879030492024421,0.019446220688326136,0.0733700650835224,0.06348052312085563,0.273,0.333,0.365,0.697,0.3230437715156665,0.006315641944271686,0.03270819281540981,0.8164259247904275
104,1919,479,28.1,3.88,37.604651162790695,84084,74672,0.10305171019456734,0.23338566195709054,0.180854859426288,0.034750963322391894,0.012463726749441035,0.0053161124589696015,0.08828076685219542,0.024749060463346177,0.071143142571714,0.08145426002568859,0.263,0.322,0.348,0.67,0.3090124161552733,0.0063151134579706005,0.03232481803910375,0.801293944151087
105,1918,489,28.1,3.63,37.45964566929134,76118,67315,0.09702041567040648,0.2244541369978192,0.1792217346751097,0.030518405633358732,0.0116266848839959,0.0030873118053548437,0.08166268162589664,0.026314406579258518,0.07552747050631914,0.07783966998607425,0.254,0.317,0.325,0.642,0.28748784781523423,0.006056386137313119,0.0321343177697785,0.8034236317296829
106,1917,490,27.3,3.59,37.20850040096231,92798,82055,0.09643526800146555,0.219735339123688,0.17251449384685014,0.03134765835470592,0.012263195327485507,0.003609991594646436,0.0817582275480075,0.026002715575766718,0.07446281169852799,0.09353649863143602,0.249,0.311,0.324,0.635,0.28643936291730426,0.006239358606866527,0.03317959438781008,0.7870859285760469
107,1916,527,27.2,3.56,37.1523656776263,92658,81924,0.09593343262319498,0.21892335254376308,0.17015260420039285,0.03232316691489132,0.01231410131882838,0.004133480109650543,0.08129897040730429,0.02971141185866304,0.07636685445401369,0.10289451531438192,0.248,0.312,0.326,0.638,0.2882751624252628,0.006907120809859915,0.030531632454833906,0.7771266377430983
108,1915,733,27.3,3.81,37.15450643776824,138512,121704,0.10261204805359825,0.21990874436871896,0.1698336606214624,0.032719186785260486,0.012771456624696777,0.004584440337299296,0.08649070116668592,0.029643640984174657,0.08028185283585537,0.10121866697470255,0.25,0.318,0.332,0.65,0.2919241654152709,0.007327884948596512,0.032062203996765626,0.7728500057756729
109,1914,740,27.2,3.87,37.063065460351254,139283,122587,0.10432716124724482,0.22349461168986884,0.17270592965401377,0.03320577529203133,0.012485371509803781,0.005097535234019945,0.08774940229604475,0.03283243468334255,0.08000258466575245,0.10600001435925419,0.254,0.321,0.337,0.659,0.29696373570356754,0.007115010446357416,0.030068278253627508,0.7690313965092653
110,1913,582,26.8,4.04,37.279173419773095,92005,81217,0.10826585511656975,0.2284767132221075,0.17625129069072332,0.03336775175262214,0.013749252758002282,0.005108418020759741,0.09075593717732731,0.035324167164827995,0.0789848377805554,0.10089669039726101,0.259,0.325,0.345,0.67,0.3046682245530134,0.007630020107602848,0.027618064235639367,0.7767403945437747
111,1912,604,26.8,4.53,37.92694805194805,93452,82039,0.11946239780850063,0.2358322989342122,0.18072379403330052,0.03587938192869067,0.014499422163249582,0.0047297008089714505,0.10046868980867184,0.036360912554038435,0.08221332876770962,0.10362539057484056,0.269,0.337,0.359,0.695,0.3148996276163164,0.007672387963874502,0.029587381757479776,0.7695180413474297
112,1911,535,27.1,4.51,38.08852061438965,94231,82259,0.11844297524169328,0.2325561651685751,0.17841262429561397,0.03464889473740064,0.014039965616410735,0.005454680519149749,0.09888465579267969,0.03611338094682217,0.08317857180757925,0.10475321284927465,0.266,0.336,0.357,0.693,0.31164903269624644,0.008956712759070794,0.030605639333128164,0.7627426218548036
113,1910,508,27.3,3.83,37.31144915932746,93204,81551,0.10275310072529076,0.21814514398523668,0.17162353547058065,0.03020256641345865,0.012445817776061113,0.00387322432513626,0.08430968627955882,0.035030685378309945,0.079599588000515,0.10382601605081326,0.249,0.318,0.326,0.644,0.28485901892622634,0.008486760224883053,0.0324020428307798,0.7672739367409124
114,1909,504,27.6,3.54,36.894037066881545,91571,80613,0.09606753229734305,0.21466403118891353,0.17184479802557578,0.029037577398958184,0.010953249391182798,0.0028284063731967546,0.07780847648272925,0.03336209061820882,0.07103777396774087,0.10240141529523539,0.244,0.306,0.311,0.618,0.27409332648982754,0.008343252776534055,0.034028240381780255,0.7751034716231121
115,1908,440,28.6,3.38,36.618167202572344,91106,80679,0.09238688999626808,0.2116106513292209,0.16999978047549008,0.027693016925339715,0.010987201721072157,0.0029306522073189473,0.07487981033082344,0.029877285798959454,0.06432068140407876,0.0996421750488442,0.239,0.297,0.305,0.602,0.2700700283186618,0.008462669857089544,0.03546418457620793,0.7829780695014599
116,1907,419,28.7,3.52,36.64071370640713,90356,80304,0.09619726415511975,0.21803754039576786,0.17737615653636726,0.027336314135198547,0.010624640311656115,0.0027004294125459296,0.07830138563017398,0.03077825490282881,0.06752180264730621,0.09779096020186817,0.245,0.305,0.309,0.614,0.27472442339191644,0.008178759573243615,0.028797202178051266,0.78825977245562
117,1906,412,28.6,3.62,36.709453952730236,90085,80061,0.09850696564355886,0.21914858189487707,0.17588943775323307,0.02921685075206749,0.011145029694177721,0.00289726369539879,0.08080146528278848,0.03326857967475162,0.06847976910695454,0.10112671365932176,0.247,0.306,0.314,0.621,0.27934728312149637,0.008081256590997392,0.029960592773491702,0.7847033357384692
118,1905,390,28.7,3.89,37.1143896523848,91821,81842,0.10493242286622886,0.22106054170614564,0.17405604382439746,0.03112577732762658,0.012197645418803978,0.003681075135317629,0.08642903039609676,0.032084163753389745,0.0674028816937302,0.10371265832434846,0.248,0.307,0.323,0.63,0.28762483527733307,0.00890863745766219,0.027270450114897465,0.7839274240097581
119,1904,364,28.5,3.73,36.666666666666664,91520,82488,0.10163898601398601,0.22249781468531468,0.1751201923076923,0.03115166083916084,0.012609265734265735,0.003616695804195804,0.08294361888111888,0.0303868006993007,0.06097027972027972,0.1016062062937063,0.247,0.301,0.321,0.622,0.28971809440559443,0.008489947552447552,0.024246066433566433,0.7960882867132867
120,1903,368,28.4,4.44,37.65664272890485,83899,75439,0.11785599351601331,0.23571198703202662,0.18171849485691127,0.03616252875481234,0.013838067199847436,0.003992896220455548,0.09706909498325367,0.032682153541758546,0.06399361136604727,0.0941489171503832,0.262,0.317,0.346,0.664,0.31152933884790046,0.008689018939439087,0.023981215509124066,0.8010226581961645
121,1902,390,28.3,4.44,37.91838565022422,84558,76280,0.11704392251472362,0.2406632134156437,0.19135977672130372,0.03349180444192152,0.011625156697178268,0.00418647555524019,0.09766077721800422,0.03174152652617138,0.06435819201021784,0.07840772014475271,0.267,0.322,0.344,0.665,0.30996475791764233,0.008467560727547955,0.021701080914874996,0.819508503039334
122,1901,371,28.1,4.99,38.46708746618575,85320,77105,0.1297819971870605,0.24562822315986874,0.19143225503984998,0.03435302390998594,0.014510079699953118,0.0053328645100797,0.10707923112986405,0.033415377402719174,0.06405297702766057,0.0817627754336615,0.272,0.327,0.36,0.686,0.325,0.009728082512892639,0.019596812001875293,0.8166197843413033
123,1900,188,28.5,5.22,38.27904929577465,43485,39132,0.13641485569736692,0.2512360584109463,0.19850523168908818,0.03293089571116477,0.013958836380361044,0.005841094630332298,0.11323444866045763,0.038771990341497066,0.06977118546625273,0.061653443716223985,0.279,0.339,0.366,0.705,0.32960791077383006,0.011797171438427043,0.018535127055306428,0.8324019776934575
124,1899,310,28.0,5.25,38.01085776330076,70016,62846,0.1381398537477148,0.25338494058500916,0.20248228976234003,0.0314356718464351,0.014439556672760511,0.005027422303473492,0.11421675045703839,0.038105575868372946,0.0711123171846435,0.05497314899451554,0.282,0.343,0.366,0.71,0.3287819926873857,0.012397166361974406,0.018895680987202925,0.8375942641681902
125,1898,299,28.1,4.96,38.02391304347826,69964,62661,0.1304813904293637,0.24233891715739522,0.19535761248642158,0.029843919730146933,0.012863758504373678,0.0042736264364530326,0.10905608598707907,0.029572351495054598,0.0727802870047453,0.06035961351552227,0.271,0.334,0.347,0.681,0.3107312332056486,0.01236350122920359,0.01923846549654108,0.8309845063175347
126,1897,263,28.1,5.91,39.201982651796776,63272,56663,0.15071437602731066,0.26112656467315715,0.20337590087242383,0.0366986976861803,0.015235807308129979,0.005816158806423062,0.1266595018333544,0.042751928183082565,0.0747408016184094,0.05893602225312935,0.292,0.354,0.386,0.74,0.3457453533948666,0.011853584523960046,0.01785940068276647,0.8307940321153117
127,1896,272,28.1,6.04,39.28661616161616,62230,55577,0.15362365418608387,0.25937650650811506,0.20191226096737908,0.034806363490278,0.01616583641330548,0.006492045637152498,0.129278483046762,0.049156355455568054,0.07800096416519364,0.05661256628635706,0.29,0.354,0.387,0.742,0.3459906797364615,0.010220151052547003,0.018688735336654348,0.8299855375220955
128,1895,284,27.9,6.6,39.88268506900878,63573,56788,0.16538467588441633,0.2646878391770091,0.20335677095622356,0.03797209507180721,0.01568275840372485,0.007676214745253488,0.13851792427602913,0.04553820017932141,0.08053733503216774,0.05695814260771082,0.296,0.361,0.4,0.761,0.3570540952920265,0.010507605429978136,0.01568275840372485,0.828637943781165
129,1894,264,27.8,7.39,40.85526315789474,65205,57577,0.18090637221072003,0.27312322674641515,0.20131891726094625,0.042220688597500194,0.01993712138639675,0.009646499501571966,0.15310175600030673,0.04827850624952074,0.09002377118319148,0.0511157119852772,0.309,0.379,0.435,0.814,0.38415765662142476,0.009232420826623726,0.017728701786672803,0.8222528947166629
